"~id","~labels","Address","distance","lan","CaseID","long"
"48","StreetLight","282 CASTRO ST, SAN FRANCISCO, CA, 94114",0.016941219755155612,37.76881246150534,3724505,-122.43617486471184
"49","StreetLight","862 SHRADER ST, SAN FRANCISCO, CA, 94117",0.03010581572627932,37.77925300231234,3770658,-122.44420472562886
"50","StreetLight","Intersection of 17TH ST and NOE ST",0.01355909699218751,37.76810386669092,3736405,-122.42311348195317
"51","StreetLight","270 CHATTANOOGA ST, SAN FRANCISCO, CA, 94114",0.004365571584114049,37.755112336868194,3742206,-122.4220650173243
"52","StreetLight","Intersection of GLENVIEW DR and PORTOLA DR",0.01844651243922336,37.76014420961295,3765209,-122.44412968572968
"53","StreetLight","50 VAN BUREN ST, SAN FRANCISCO, CA, 94131",0.013027581627322411,37.74917219899491,3750628,-122.43810103759029
"54","StreetLight","Intersection of 17TH ST and SHRADER ST",0.026842488146476728,37.76984205042106,3733212,-122.44876446212896
"55","StreetLight","317 CHENERY ST, SAN FRANCISCO, CA, 94131",0.008427108676956632,37.74892179485116,3740054,-122.4205453053517
"56","StreetLight","3003 MARKET ST, SAN FRANCISCO, CA, 94114",0.012320948386770203,37.76293271474571,3679304,-122.43581815683535
"57","StreetLight","783 CASTRO ST, SAN FRANCISCO, CA, 94114",0.013495516425004711,37.76703504569692,3688226,-122.4204088715485
"58","StreetLight","4125 18TH ST, SAN FRANCISCO, CA, 94114",0.011098043296862543,37.762341819216914,3679432,-122.43471134889342
"59","StreetLight","2140 MARKET ST, SAN FRANCISCO, CA, 94114",0.025099300914459954,37.77968545542364,3719619,-122.422134473462
"60","StreetLight","111 BUENA VISTA AVE, SAN FRANCISCO, CA, 94117",0.021303308578047152,37.773736944223444,3698172,-122.43648313085498
"61","StreetLight","3975 17TH ST, SAN FRANCISCO, CA, 94114",0.01215063112392571,37.766358277205974,3715890,-122.42222926916259
"62","StreetLight","3571 16TH ST, SAN FRANCISCO, CA, 94114",0.007747635352976208,37.76235810985215,3716125,-122.42871595917366
"63","StreetLight","Intersection of MARKET ST and ROMAIN ST",0.0113078400018221,37.763059866603975,3691802,-122.43431422167471
"64","StreetLight","1253 NOE ST, SAN FRANCISCO, CA, 94114",0.0023590167666260905,37.75298225975795,3675905,-122.42513588605651
"65","StreetLight","80 COLLINGWOOD ST, SAN FRANCISCO, CA, 94114",0.012469127417309503,37.76463260339822,3679428,-122.43429188114182
"66","StreetLight","2135 MARKET ST, SAN FRANCISCO, CA, 94114",0.01754192004222936,37.77249004760369,3704528,-122.42589985904756
"67","StreetLight","Intersection of 21ST ST and NOE ST",0.010239502768431375,37.76490776250764,3676717,-122.42401712674464
"68","StreetLight","Intersection of MARKET ST and DOLORES ST",0.02286698674464293,37.77720595704547,3672063,-122.42115126150328
"69","StreetLight","275 GRAYSTONE TER, SAN FRANCISCO, CA, 94114",0.014038853694213989,37.767886174493455,3679285,-122.43189605453968
"70","StreetLight","3571 16TH ST, SAN FRANCISCO, CA, 94114",0.007704092637808663,37.76265932534289,3700930,-122.42631397077749
"71","StreetLight","Intersection of CASTRO ST and MARKET ST",0.016804054485133064,37.767935568789994,3672074,-122.43710060493986
"72","StreetLight","Intersection of CASTRO ST and 23RD ST",0.006713031804993292,37.758890047588814,3705688,-122.42098824684217
"73","StreetLight","Intersection of CARL ST and STANYAN ST",0.028764408251480904,37.774701379083766,3681696,-122.44734462883676
"74","StreetLight","Intersection of 30TH ST and SANCHEZ ST",0.009501137438848246,37.74547080240525,3676691,-122.42697664834971
"75","StreetLight","51 CHENERY ST, SAN FRANCISCO, CA, 94131",0.012059748437420035,37.74353120415683,3716510,-122.42256645842275
"76","StreetLight","219 CLINTON PARK, SAN FRANCISCO, CA, 94103",0.02388144841807038,37.778759923440674,3705593,-122.42450417267972
"77","StreetLight","16 ORD CT, SAN FRANCISCO, CA, 94114",0.013568854128761037,37.76258581011147,3716960,-122.43764834935156
"78","StreetLight","1562 DOLORES ST, SAN FRANCISCO, CA, 94110",0.01450601088987829,37.742948571828386,3698200,-122.41828873398651
"79","StreetLight","4230 24TH ST, SAN FRANCISCO, CA, 94114",0.0057237466666216754,37.75464040364728,3713319,-122.43214282662524
"80","StreetLight","Intersection of 18TH ST and DANVERS ST",0.009272564483715452,37.76318377905399,3679302,-122.43070392441676
"81","StreetLight","Intersection of 23RD ST and CASTRO ST",0.003286833406506514,37.75234892413575,3704081,-122.42442628045197
"82","StreetLight","Intersection of 14TH ST and DOLORES ST",0.021690779691281057,37.776638989921075,3681873,-122.42701179566829
"83","StreetLight","Intersection of MARKET ST and DANVERS ST",0.012045029823896339,37.76248616689154,3719995,-122.43582887837725
"84","StreetLight","Intersection of 18TH ST and DANVERS ST",0.016060632253193825,37.769692563926284,3679295,-122.4328136945267
"85","StreetLight","Intersection of CARL ST and STANYAN ST",0.03034100676678449,37.77682908328637,3681704,-122.44745511014443
"86","StreetLight","996 DOLORES ST, SAN FRANCISCO, CA, 94114",0.0038080844412901414,37.75873917916174,3688355,-122.42686324397843
"87","StreetLight","210 CHURCH ST, SAN FRANCISCO, CA, 94114",0.02114520674258504,37.77591291640121,3704516,-122.42361167597277
"88","StreetLight","1727 WALLER ST, SAN FRANCISCO, CA, 94117",0.027675461718899612,37.77330541874853,3716987,-122.44714572346619
"89","StreetLight","3522 17TH ST, SAN FRANCISCO, CA, 94110",0.016833088952661873,37.764153741090766,3703333,-122.41232971361002
"90","StreetLight","Intersection of 17TH ST and NOE ST",0.015895946161256704,37.77048753034353,3677306,-122.42304327451232
"91","StreetLight","89 STATES ST, SAN FRANCISCO, CA, 94114",0.017468489440249032,37.76989220380208,3721999,-122.43548649633094
"92","StreetLight","Intersection of 30TH ST and SANCHEZ ST",0.008931330016156345,37.74606042973486,3676692,-122.4256301842523
"93","StreetLight","3986 26TH ST, SAN FRANCISCO, CA, 94114",0.005451509764847853,37.75442150606222,3688247,-122.42100255434757
"94","StreetLight","144 GRATTAN ST, SAN FRANCISCO, CA, 94117",0.026118720868474284,37.7697532532377,3676321,-122.44795059442319
"95","StreetLight","Intersection of SHRADER ST and BEULAH ST",0.02539780290099448,37.77417910111493,3716952,-122.44302669500715
"96","StreetLight","674 DOUGLASS ST, SAN FRANCISCO, CA, 94114",0.00580270111828953,37.757207348090205,3713323,-122.43177597823764
"97","StreetLight","Intersection of CARL ST and STANYAN ST",0.030700808240901028,37.78095836927872,3681699,-122.44275017605979
"98","StreetLight","Intersection of BUCHANAN ST and MARKET ST",0.023425070627491426,37.778344572394744,3719616,-122.42511933595004
"99","StreetLight","273 STATES ST, SAN FRANCISCO, CA, 94114",0.008728590468478604,37.762373396478765,3700835,-122.43102905333905
"100","StreetLight","3989 26TH ST, SAN FRANCISCO, CA, 94131",0.005400431802526973,37.756080226019115,3676713,-122.42114565683119
"101","StreetLight","3571 16TH ST, SAN FRANCISCO, CA, 94114",0.01034020557053519,37.764022957070786,3700887,-122.42145672762348
"102","StreetLight","402 DUBOCE AVE, SAN FRANCISCO, CA, 94117",0.022062386008445647,37.776994607634364,3697412,-122.42540217366276
"103","StreetLight","26 NEWBURG ST, SAN FRANCISCO, CA, 94131",0.0013193198210703116,37.75626386084512,3713305,-122.42625373050994
"104","StreetLight","2118 MARKET ST, SAN FRANCISCO, CA, 94114",0.025338943468669276,37.779611805798176,3700237,-122.42058339887339
"105","StreetLight","Intersection of SAN JOSE AVE and MILTON ST",0.022454041850384132,37.732646457485146,3711500,-122.42897043299969
"106","StreetLight","Intersection of MARKET ST and CHURCH ST",0.018964971704238796,37.77377963033092,3686104,-122.42411611192172
"107","StreetLight","Intersection of DOLORES ST and 29TH ST",0.009411037504974459,37.74951676331648,3698205,-122.41874784789641
"108","StreetLight","Intersection of DOLORES ST and MARKET ST",0.02070574098172094,37.775066567732765,3701873,-122.42149872111939
"109","StreetLight","402 FREDERICK ST, SAN FRANCISCO, CA, 94117",0.027009134537925673,37.775451642885905,3716850,-122.44401827130987
"110","StreetLight","2219 MARKET ST, SAN FRANCISCO, CA, 94114",0.020810886028339044,37.77551396852765,3700219,-122.42319268218431
"111","StreetLight","Intersection of 14TH ST and BUENA VISTA TER",0.026973866359493087,37.78033057938346,3698175,-122.43557786891826
"112","StreetLight","402 DUBOCE AVE, SAN FRANCISCO, CA, 94117",0.02215008126822771,37.777102713068146,3717024,-122.42681825009157
"113","StreetLight","2222 MARKET ST, SAN FRANCISCO, CA, 94114",0.0227804887301364,37.77699442613578,3719620,-122.42066049717377
"114","StreetLight","392 NOE ST, SAN FRANCISCO, CA, 94114",0.009356257795464134,37.76421658949015,3679431,-122.42509272415082
"115","StreetLight","1536 CHURCH ST, SAN FRANCISCO, CA, 94131",0.0037960500522180598,37.75264997360065,3672637,-122.42341251372427
"116","StreetLight","Intersection of NOE ST and 19TH ST",0.010159477796691784,37.76460270094334,3688469,-122.42324069720756
"117","StreetLight","3880 21ST ST, SAN FRANCISCO, CA, 94114",0.010902124179669435,37.76455449512627,3688234,-122.42125801234236
"118","StreetLight","1027 DIAMOND ST, SAN FRANCISCO, CA, 94114",0.011834627737392474,37.757660459670944,3713313,-122.43794928035621
"119","StreetLight","Intersection of HATTIE ST and MARKET ST",0.017118937316331045,37.77085119137073,3679305,-122.43278414595909
"120","StreetLight","Intersection of COLE ST and FREDERICK ST",0.025278777440890975,37.77216826504821,3676712,-122.4449414903824
"121","StreetLight","3975 17TH ST, SAN FRANCISCO, CA, 94114",0.010095144480594044,37.76491219094156,3713378,-122.42475816008975
"122","StreetLight","Intersection of MARKET ST and 16TH ST",0.011581747160994856,37.76625824666324,3712796,-122.42895716874773
"123","StreetLight","4735 18TH ST, SAN FRANCISCO, CA, 94114",0.012887206222494363,37.76227546136621,3679298,-122.43703470634635
"124","StreetLight","449 BUENA VISTA AVE, SAN FRANCISCO, CA, 94117",0.027036745542721147,37.780516837937064,3705714,-122.43523874662851
"125","StreetLight","21 EUREKA ST, SAN FRANCISCO, CA, 94114",0.018252537381192483,37.77090745114503,3679306,-122.43529958221687
"126","StreetLight","998 BURNETT AVE, SAN FRANCISCO, CA, 94131",0.014017520647442371,37.75744097046744,3681338,-122.44022330409341
